"@sourceA","fname_c1@sourceA","fname_c2@sourceA","lname_c1@sourceA","lname_c2@sourceA","by@sourceA","bm@sourceA","bd@sourceA","@sourceB","fname_c1@sourceB","fname_c2@sourceB","lname_c1@sourceB","lname_c2@sourceB","by@sourceB","bm@sourceB","bd@sourceB","Confidence"
"2378","THOMAS","NA","SCHULZE","NA","1958","6","26","2378","THOMAS","NA","SCHULZE","NA","1958","6","26","100"
"2379","WALTER","NA","HUBER","NA","1965","9","11","2379","WALTER","NA","HUBER","NA","1965","9","11","100"
"2380","CHRISTIAN","NA","NEUMANN","NA","1935","5","10","2380","CHRISTIAN","NA","NEUMANN","NA","1935","5","10","100"
"2381","RUDOLF","NA","WALTER","NA","1953","4","13","2381","RUDOLF","NA","WALTER","NA","1953","4","13","100"
"2382","ULRICH","NA","KOCH","NA","1982","10","5","2382","ULRICH","NA","KOCH","NA","1982","10","5","100"
"2383","JUERGEN","NA","MUELLER","NA","2007","11","5","2383","JUERGEN","NA","MUELLER","NA","2007","11","5","100"
"2384","NORBERT","NA","WINTER","NA","1930","9","29","2384","NORBERT","NA","WINTER","NA","1930","9","29","100"
"2385","ALEXANDER","NA","WINKLER","NA","1958","4","16","2385","ALEXANDER","NA","WINKLER","NA","1958","4","16","100"
"2386","PETER","NA","BRANDT","NA","1994","5","25","2386","PETER","NA","BRANDT","NA","1994","5","25","100"
"2387","RUDOLF","NA","WEBER","NA","1983","1","10","2387","RUDOLF","NA","WEBER","NA","1983","1","10","100"
"2388","GERHARD","NA","BOEHM","NA","1962","8","3","2388","GERHARD","NA","BOEHM","NA","1962","8","3","100"
"2389","HEINZ","NA","WAGNER","NA","1957","4","16","2389","HEINZ","NA","WAGNER","NA","1957","4","16","100"
"2390","WILHELM","NA","BERGMANN","NA","1964","11","20","2390","WILHELM","NA","BERGMANN","NA","1964","11","20","100"
"2391","RAINER","NA","WAGNXER","NA","1974","1","2","2391","RAINER","NA","WAGNXER","NA","1974","1","2","100"
"2392","CHRISTIAN","NA","LORENZ","NA","1995","5","26","2392","CHRISTIAN","NA","LORENZ","NA","1995","5","26","100"
"2393","JOERG","NA","MAIER","NA","1944","6","3","2393","JOERG","NA","MAIER","NA","1944","6","3","100"
"2394","OTTO","NA","RICHTER","NA","1990","12","19","2394","OTTO","NA","RICHTER","NA","1990","12","19","100"
"2395","ANDREAS","NA","BOEHM","NA","1961","3","19","2395","ANDREAS","NA","BOEHM","NA","1961","3","19","100"
"2396","GUENTHER","NA","SCHROEDER","NA","1992","5","19","2396","GUENTHER","NA","SCHROEDER","NA","1992","5","19","100"
"2397","KLAUS","NA","WALTER","NA","1968","1","18","2397","KLAUS","NA","WALTER","NA","1968","1","18","100"
"2398","UWE","NA","RICHTER","NA","1989","10","12","2398","UWE","NA","RICHTER","NA","1989","10","12","100"
"2399","GEORG","NA","SCHUMACHER","NA","1999","11","17","2399","GEORG","NA","SCHUMACHER","NA","1999","11","17","100"
"2400","MARK","NA","HOFFMANN","NA","1978","11","12","2400","MARK","NA","HOFFMANN","NA","1978","11","12","100"
"2401","ANDREAS","NA","KELLER","NA","1999","8","29","2401","ANDREAS","NA","KELLER","NA","1999","8","29","100"
"2402","THOMAS","NA","KRAUSE","NA","1958","8","18","2402","THOMAS","NA","KRAUSE","NA","1958","8","18","100"
"2403","UWE","NA","MOELLER","NA","1936","9","5","2403","UWE","NA","MOELLER","NA","1936","9","5","100"
"2404","ALEXANDER","NA","HAAS","NA","1957","10","29","2404","ALEXANDER","NA","HAAS","NA","1957","10","29","100"
"2405","GUENTHER","NA","KLEIN","NA","1949","12","5","2405","GUENTHER","NA","KLEIN","NA","1949","12","5","100"
"2406","MICHAEL","NA","SOMMER","NA","1940","4","7","2406","MICHAEL","NA","SOMMER","NA","1940","4","7","100"
"2407","VOLKER","NA","WALTER","NA","1947","8","2","2407","VOLKER","NA","WALTER","NA","1947","8","2","100"
"2408","UWE","NA","HERRMANN","NA","1981","3","19","2408","UWE","NA","HERRMANN","NA","1981","3","19","100"
"2409","HANS","NA","PFEIFFER","NA","1970","12","1","2409","HANS","NA","PFEIFFER","NA","1970","12","1","100"
"2410","KURT","NA","HOFFMANN","NA","1942","11","3","2410","KURT","NA","HOFFMANN","NA","1942","11","3","100"
"2411","FRANK","NA","WEBER","NA","1970","3","7","2411","FRANK","NA","WEBER","NA","1970","3","7","100"
"2412","DIRK","NA","NEUMANN","NA","1997","1","14","2412","DIRK","NA","NEUMANN","NA","1997","1","14","100"
"2413","JOERG","NA","WEBER","NA","1995","4","1","2413","JOERG","NA","WEBER","NA","1995","4","1","100"
"2414","MARKUS","NA","KRAUSE","NA","1958","12","2","2414","MARKUS","NA","KRAUSE","NA","1958","12","2","100"
"2415","PETER","NA","SCHNEIDER","NA","1969","12","16","2415","PETER","NA","SCHNEIDER","NA","1969","12","16","100"
"2416","ANDRUEAS","RALF","KOEHLER","NA","1958","7","29","2416","ANDRUEAS","RALF","KOEHLER","NA","1958","7","29","100"
"2417","DIETER","NA","MAYER","NA","1955","3","10","2417","DIETER","NA","MAYER","NA","1955","3","10","100"
"2418","WERNER","NA","WALTER","NA","2006","3","2","2418","WERNER","NA","WALTER","NA","2006","3","2","100"
"2419","HORST","NA","RICHTER","NA","1973","1","2","2419","HORST","NA","RICHTER","NA","1973","1","2","100"
"2420","WALTER","NA","FUCHS","NA","1990","3","25","2420","WALTER","NA","FUCHS","NA","1990","3","25","100"
"2421","WOLFGANG","NA","SCHMIDT","NA","1995","9","30","2421","WOLFGANG","NA","SCHMIDT","NA","1995","9","30","100"
"2422","THORSTEN","NA","SCHMIDT","NA","1966","7","5","2422","THORSTEN","NA","SCHMIDT","NA","1966","7","5","100"
"2423","KLAUS","NA","KLEIN","NA","2003","8","10","2423","KLAUS","NA","KLEIN","NA","2003","8","10","100"
"2424","UWE","MAIK","MUELLER","NA","1939","1","4","2424","UWE","MAIK","MUELLER","NA","1939","1","4","100"
"2425","MARKUS","NA","VOGEL","NA","1970","5","13","2425","MARKUS","NA","VOGEL","NA","1970","5","13","100"
"2426","ANDREAS","NA","SCHMITZ","NA","1986","10","9","2426","ANDREAS","NA","SCHMITZ","NA","1986","10","9","100"
"2427","BJOERN","NA","SCHMITT","NA","1938","3","13","2427","BJOERN","NA","SCHMITT","NA","1938","3","13","100"
"2428","JUERGEN","NA","KRUEGER","NA","1952","8","7","2428","JUERGEN","NA","KRUEGER","NA","1952","8","7","100"
"2429","RAINER","NA","FISCHER","NA","1954","1","19","2429","RAINER","NA","FISCHER","NA","1954","1","19","100"
"2430","MATTHIAS","NA","BECKER","NA","1959","8","5","2430","MATTHIAS","NA","BECKER","NA","1959","8","5","100"
"2431","UWE","NA","FRANKE","NA","1938","4","20","2431","UWE","NA","FRANKE","NA","1938","4","20","100"
"2432","INGO","NA","MEIER","NA","1986","1","16","2432","INGO","NA","MEIER","NA","1986","1","16","100"
"2433","JUERGDEN","NA","LORENZ","NA","1950","3","18","2433","JUERGDEN","NA","LORENZ","NA","1950","3","18","100"
"2434","SVEN","NA","SCHMID","NA","1928","1","1","2434","SVEN","NA","SCHMID","NA","1928","1","1","100"
"2435","RAINER","NA","BECKER","NA","1985","11","22","2435","RAINER","NA","BECKER","NA","1985","11","22","100"
"2436","PETER","NA","BAUMANN","NA","1931","2","12","2436","PETER","NA","BAUMANN","NA","1931","2","12","100"
"2437","PETER","NA","SCHNEIDER","NA","1953","3","1","2437","PETER","NA","SCHNEIDER","NA","1953","3","1","100"
"2438","JUERGEN","NA","SCHROEDER","NA","1962","11","8","2438","JUERGEN","NA","SCHROEDER","NA","1962","11","8","100"
"2439","DETLEF","NA","SCHULZ","NA","1971","11","10","2439","DETLEF","NA","SCHULZ","NA","1971","11","10","100"
"2440","SVEN","NA","SCHMIDT","NA","1972","7","10","2440","SVEN","NA","SCHMIDT","NA","1972","7","10","100"
"2441","FRANKV","NA","BAUER","NA","1996","4","16","2441","FRANKV","NA","BAUER","NA","1996","4","16","100"
"2442","OLAF","NA","STEIN","NA","1930","2","6","2442","OLAF","NA","STEIN","NA","1930","2","6","100"
"2443","CARSTEN","NA","SCHULTE","NA","1962","12","29","2443","CARSTEN","NA","SCHULTE","NA","1962","12","29","100"
"2444","CHRISTIAN","NA","SCHNEIDER","NA","1955","11","6","2444","CHRISTIAN","NA","SCHNEIDER","NA","1955","11","6","100"
"2445","OLIVER","NA","KRAUS","NA","1978","12","19","2445","OLIVER","NA","KRAUS","NA","1978","12","19","100"
"2446","KARL","NA","VOGT","NA","1942","3","19","2446","KARL","NA","VOGT","NA","1942","3","19","100"
"2447","ALEXANDER","NA","VOGEL","NA","1934","3","12","2447","ALEXANDER","NA","VOGEL","NA","1934","3","12","100"
"2448","THORSTEN","NA","KLEIN","NA","1981","6","20","2448","THORSTEN","NA","KLEIN","NA","1981","6","20","100"
"2449","STEFAN","NA","HOFMANN","NA","1988","8","5","2449","STEFAN","NA","HOFMANN","NA","1988","8","5","100"
"2450","UWE","NA","THOMAS","NA","1950","4","22","2450","UWE","NA","THOMAS","NA","1950","4","22","100"
"2451","HORST","NA","ZIMMERMANN","NA","1974","9","21","2451","HORST","NA","ZIMMERMANN","NA","1974","9","21","100"
"2452","JUERGEN","NA","SCHMIDT","NA","1962","6","14","2452","JUERGEN","NA","SCHMIDT","NA","1962","6","14","100"
"2453","ROLF","NA","SCHNEIDER","NA","1957","5","12","2453","ROLF","NA","SCHNEIDER","NA","1957","5","12","100"
"2454","JOERG","NA","KRAUSE","NA","1974","9","9","2454","JOERG","NA","KRAUSE","NA","1974","9","9","100"
"2455","MATTHIAS","NA","SCHROEDER","NA","1976","9","3","2455","MATTHIAS","NA","SCHROEDER","NA","1976","9","3","100"
"2456","PHILIPP","NA","BERGER","NA","1995","5","4","2456","PHILIPP","NA","BERGER","NA","1995","5","4","100"
"2457","FRANK","NA","SCHROEDER","NA","1952","4","19","2457","FRANK","NA","SCHROEDER","NA","1952","4","19","100"
"2458","NORBERT","NA","ZIMMERMANN","NA","1966","1","27","2458","NORBERT","NA","ZIMMERMANN","NA","1966","1","27","100"
"2459","JOACHIM","NA","BOEHM","NA","1986","5","20","2459","JOACHIM","NA","BOEHM","NA","1986","5","20","100"
"2460","CHRISTILAN","NA","WEBER","NA","1969","5","14","2460","CHRISTILAN","NA","WEBER","NA","1969","5","14","100"
"2461","PAUL","NA","SCHAEFER","NA","1942","7","2","2461","PAUL","NA","SCHAEFER","NA","1942","7","2","100"
"2462","HEINRICH","BERND","BOEHM","NA","1936","7","7","2462","HEINRICH","BERND","BOEHM","NA","1936","7","7","100"
"2463","HORST","NA","BRAUN","NA","1951","3","23","2463","HORST","NA","BRAUN","NA","1951","3","23","100"
"2464","MARCO","NA","BECKER","NA","1963","3","6","2464","MARCO","NA","BECKER","NA","1963","3","6","100"
"2465","WOLFGANG","NA","KELLER","NA","1998","7","22","2465","WOLFGANG","NA","KELLER","NA","1998","7","22","100"
"2466","CHRISTIAN","NA","HOFFMANN","NA","1966","10","14","2466","CHRISTIAN","NA","HOFFMANN","NA","1966","10","14","100"
"2467","HEINZ","NA","BECKER","NA","1967","2","10","2467","HEINZ","NA","BECKER","NA","1967","2","10","100"
"2468","BERND","NA","KUEHN","NA","2002","9","18","2468","BERND","NA","KUEHN","NA","2002","9","18","100"
"2469","REINHARD","NA","FISCHER","NA","1977","8","26","2469","REINHARD","NA","FISCHER","NA","1977","8","26","100"
"2470","JUERGEN","NA","PETERS","NA","1959","12","25","2470","JUERGEN","NA","PETERS","NA","1959","12","25","100"
"2471","WILLI","NA","FRIEDRICH","NA","1964","10","22","2471","WILLI","NA","FRIEDRICH","NA","1964","10","22","100"
"2472","SVENF","NA","KOCH","NA","1976","5","29","2472","SVENF","NA","KOCH","NA","1976","5","29","100"
"2473","HEINZ","NA","SCHMITZ","NA","2007","8","19","2473","HEINZ","NA","SCHMITZ","NA","2007","8","19","100"
"2474","RAINER","NA","SCHULZE","NA","1978","1","12","2474","RAINER","NA","SCHULZE","NA","1978","1","12","100"
"2475","GERD","NA","KOCH","NA","1963","12","7","2475","GERD","NA","KOCH","NA","1963","12","7","100"
"2476","KLAUS","NA","HEINRICH","NA","1979","7","20","2476","KLAUS","NA","HEINRICH","NA","1979","7","20","100"
"2477","UWE","NA","HAAS","NA","1964","1","8","2477","UWE","NA","HAAS","NA","1964","1","8","100"
"2478","HANS","NA","KRAUS","NA","1940","3","19","2478","HANS","NA","KRAUS","NA","1940","3","19","100"
"2479","ALEXANDER","NA","HOFFMANN","NA","1967","11","25","2479","ALEXANDER","NA","HOFFMANN","NA","1967","11","25","100"
"2480","WERNER","NA","WERNER","NA","1962","1","6","2480","WERNER","NA","WERNER","NA","1962","1","6","100"
"2481","HERMANN","NA","WINKLER","NA","1972","7","10","2481","HERMANN","NA","WINKLER","NA","1972","7","10","100"
"2482","WALTER","NA","SCHUBERT","NA","1939","1","20","2482","WALTER","NA","SCHUBERT","NA","1939","1","20","100"
"2483","MATTHIAS","HOLGER","SEIDEL","NA","1982","8","18","2483","MATTHIAS","HOLGER","SEIDEL","NA","1982","8","18","100"
"2484","ROLF","NA","SCHMIDT","NA","2004","11","21","2484","ROLF","NA","SCHMIDT","NA","2004","11","21","100"
"2485","WERNER","NA","FISCHER","NA","1976","7","14","2485","WERNER","NA","FISCHER","NA","1976","7","14","100"
"2486","HARALD","NA","WAGNER","NA","1981","8","14","2486","HARALD","NA","WAGNER","NA","1981","8","14","100"
"2487","HEINZ","NA","FISCHFER","NA","1980","4","29","2487","HEINZ","NA","FISCHFER","NA","1980","4","29","100"
"2488","ROLF","NA","SCHWARZ","NA","1941","6","14","2488","ROLF","NA","SCHWARZ","NA","1941","6","14","100"
"2489","ANDREAS","NA","KRUEGER","NA","1967","12","10","2489","ANDREAS","NA","KRUEGER","NA","1967","12","10","100"
"2490","ALFRED","NA","SCHROEDER","NA","1962","6","14","2490","ALFRED","NA","SCHROEDER","NA","1962","6","14","100"
"2491","MARTIN","NA","SCHNEIDER","NA","1971","7","12","2491","MARTIN","NA","SCHNEIDER","NA","1971","7","12","100"
"2492","JOACHIM","NA","BRAUN","NA","1931","3","1","2492","JOACHIM","NA","BRAUN","NA","1931","3","1","100"
"2493","MICHAEL","NA","SCHAEFER","NA","2005","1","28","2493","MICHAEL","NA","SCHAEFER","NA","2005","1","28","100"
"2494","RUDOLF","NA","MAIER","NA","1980","10","31","2494","RUDOLF","NA","MAIER","NA","1980","10","31","100"
"2495","WOLFGANG","NA","MARTIN","NA","1949","4","19","2495","WOLFGANG","NA","MARTIN","NA","1949","4","19","100"
"2496","WOLFGANG","NA","GRAF","NA","1952","6","8","2496","WOLFGANG","NA","GRAF","NA","1952","6","8","100"
"2497","FRANZ","NA","HOFMANN","NA","1984","3","16","2497","FRANZ","NA","HOFMANN","NA","1984","3","16","100"
"2498","INGGO","NA","MUELLER","NA","2007","5","9","2498","INGGO","NA","MUELLER","NA","2007","5","9","100"
"2499","MANFRED","NA","HARTMANN","NA","1961","6","13","2499","MANFRED","NA","HARTMANN","NA","1961","6","13","100"
"2500","PETER","NA","LORENZ","NA","1951","7","24","2500","PETER","NA","LORENZ","NA","1951","7","24","100"
"2501","WOLFGANG","NA","MAYER","NA","2001","6","5","2501","WOLFGANG","NA","MAYER","NA","2001","6","5","100"
"2502","KARL","NA","MUELLER","NA","1941","3","6","2502","KARL","NA","MUELLER","NA","1941","3","6","100"
"2503","ROLF","NA","RICHTER","NA","1996","5","18","2503","ROLF","NA","RICHTER","NA","1996","5","18","100"
"2504","ANDREAS","NA","SCHMIDT","NA","2005","6","24","2504","ANDREAS","NA","SCHMIDT","NA","2005","6","24","100"
"2505","GERHAHRD","NA","MUELLER","NA","2001","9","4","2505","GERHAHRD","NA","MUELLER","NA","2001","9","4","100"
"2506","MATTHIAS","NA","SOMMER","NA","1992","6","23","2506","MATTHIAS","NA","SOMMER","NA","1992","6","23","100"
"2507","HERMANN","NA","MUELLER","NA","1961","4","30","2507","HERMANN","NA","MUELLER","NA","1961","4","30","100"
"2508","THOMAS","NA","PFEIFFER","NA","1962","5","21","2508","THOMAS","NA","PFEIFFER","NA","1962","5","21","100"
"2509","WOLFGANG","NA","PFEIFFER","NA","1935","6","6","2509","WOLFGANG","NA","PFEIFFER","NA","1935","6","6","100"
"2510","WERNER","NA","SCHNEIDER","NA","1984","7","4","2510","WERNER","NA","SCHNEIDER","NA","1984","7","4","100"
"2511","CARSTEN","NA","KAISER","NA","1927","12","12","2511","CARSTEN","NA","KAISER","NA","1927","12","12","100"
"2512","MARTIN","NA","HUBER","NA","1983","5","2","2512","MARTIN","NA","HUBER","NA","1983","5","2","100"
"2513","PETER","NA","VOGT","NA","2004","2","14","2513","PETER","NA","VOGT","NA","2004","2","14","100"
"2514","JUERGEN","NA","THOMAS","NA","1987","10","24","2514","JUERGEN","NA","THOMAS","NA","1987","10","24","100"
"2515","JENS","NA","BERGER","NA","1942","10","15","2515","JENS","NA","BERGER","NA","1942","10","15","100"
"2516","ANDREAS","NA","SCHUMACHER","NA","1989","2","9","2516","ANDREAS","NA","SCHUMACHER","NA","1989","2","9","100"
"2517","MATTHIAS","JUERGEN","WEBER","NA","1969","7","27","2517","MATTHIAS","JUERGEN","WEBER","NA","1969","7","27","100"
"2518","WOLFGANG","NA","MEIER","NA","1954","2","9","2518","WOLFGANG","NA","MEIER","NA","1954","2","9","100"
"2519","THOMAS","NA","SCHMID","NA","1956","10","30","2519","THOMAS","NA","SCHMID","NA","1956","10","30","100"
"2520","HEINZ","NA","LORENZ","NA","2003","2","4","2520","HEINZ","NA","LORENZ","NA","2003","2","4","100"
"2521","MARTIN","NA","HARTMANN","NA","2006","4","30","2521","MARTIN","NA","HARTMANN","NA","2006","4","30","100"
"2522","THOQMAS","NA","SCHREIBER","NA","2004","12","15","2522","THOQMAS","NA","SCHREIBER","NA","2004","12","15","100"
"2523","BERND","NA","SCHULTE","NA","1980","3","12","2523","BERND","NA","SCHULTE","NA","1980","3","12","100"
"2524","FRANK","NA","RICHTER","NA","1954","9","5","2524","FRANK","NA","RICHTER","NA","1954","9","5","100"
"2525","ANDREAS","NA","LANG","NA","1931","8","14","2525","ANDREAS","NA","LANG","NA","1931","8","14","100"
"2526","ERWIN","NA","FRANKE","NA","1960","7","15","2526","ERWIN","NA","FRANKE","NA","1960","7","15","100"
"2527","WOLFGANG","NA","ENGEL","NA","1965","8","8","2527","WOLFGANG","NA","ENGEL","NA","1965","8","8","100"
"2528","CHRISTIAN","NA","SCHMIDT","NA","1945","5","19","2528","CHRISTIAN","NA","SCHMIDT","NA","1945","5","19","100"
"2529","STEFAN","NA","KOERTIG","NA","1981","10","8","2529","STEFAN","NA","KOERTIG","NA","1981","10","8","100"
"2530","MATTHIAS","NA","MUELLER","NA","1974","2","4","2530","MATTHIAS","NA","MUELLER","NA","1974","2","4","100"
"2531","BENJAMIN","NA","VOGEL","NA","1941","5","15","2531","BENJAMIN","NA","VOGEL","NA","1941","5","15","100"
"2532","ALEXANDER","NA","LORENZ","NA","1974","12","28","2532","ALEXANDER","NA","LORENZ","NA","1974","12","28","100"
"2533","KARZL","NA","ALBRECHT","NA","1953","8","15","2533","KARZL","NA","ALBRECHT","NA","1953","8","15","100"
"2534","MICHAEL","NA","LEHMANN","NA","1936","3","21","2534","MICHAEL","NA","LEHMANN","NA","1936","3","21","100"
"2535","FRANK","NA","WAGNER","NA","1969","4","18","2535","FRANK","NA","WAGNER","NA","1969","4","18","100"
"2536","GERHARD","NA","VOGEL","NA","1944","7","8","2536","GERHARD","NA","VOGEL","NA","1944","7","8","100"
"2537","GUENTHER","NA","MUELLER","NA","1926","11","24","2537","GUENTHER","NA","MUELLER","NA","1926","11","24","100"
"2538","GERHARD","NA","MUELLER","NA","1951","7","8","2538","GERHARD","NA","MUELLER","NA","1951","7","8","100"
"2539","JUERGEN","NA","MEYER","NA","1944","12","23","2539","JUERGEN","NA","MEYER","NA","1944","12","23","100"
"2540","UWE","NA","SCHULZ","NA","1983","6","24","2540","UWE","NA","SCHULZ","NA","1983","6","24","100"
"2541","ROBERT","NA","SCHROEDER","NA","2001","12","14","2541","ROBERT","NA","SCHROEDER","NA","2001","12","14","100"
"2542","HOLGER","NA","WAGNER","NA","1985","8","29","2542","HOLGER","NA","WAGNER","NA","1985","8","29","100"
"2543","THOMAS","NA","SCHMID","NA","1932","10","26","2543","THOMAS","NA","SCHMID","NA","1932","10","26","100"
"2544","HORST","NA","MAIER","NA","1969","1","14","2544","HORST","NA","MAIER","NA","1969","1","14","100"
"2545","DIETER","NA","SCHUMACHER","NA","1989","4","15","2545","DIETER","NA","SCHUMACHER","NA","1989","4","15","100"
"2546","DIRK","NA","NEUMANN","NA","1977","7","28","2546","DIRK","NA","NEUMANN","NA","1977","7","28","100"
"2547","RENE","NA","BERGER","JUNG","1450","9","23","2547","RENE","NA","BERGER","JUNG","1450","9","23","100"
"2548","PETER","NA","MOELLER","NA","1944","6","16","2548","PETER","NA","MOELLER","NA","1944","6","16","100"
"2549","ANDREAS","NA","KUEHN","NA","1984","5","19","2549","ANDREAS","NA","KUEHN","NA","1984","5","19","100"
"2550","PETER","NA","SCHAEFER","NA","1976","4","21","2550","PETER","NA","SCHAEFER","NA","1976","4","21","100"
"2551","UWE","NA","HERRMANN","NA","1956","9","7","2551","UWE","NA","HERRMANN","NA","1956","9","7","100"
"2552","GERHARD","NA","SCHMITT","NA","1967","11","27","2552","GERHARD","NA","SCHMITT","NA","1967","11","27","100"
"2553","OLIVER","NA","BAUER","NA","1996","4","6","2553","OLIVER","NA","BAUER","NA","1996","4","6","100"
"2554","THOMAS","NA","LANG","NA","1952","8","31","2554","THOMAS","NA","LANG","NA","1952","8","31","100"
"2555","FRANK","NA","THOMAS","NA","1967","6","18","2555","FRANK","NA","THOMAS","NA","1967","6","18","100"
"2556","STEFAN","NA","FISCHER","NA","2007","3","24","2556","STEFAN","NA","FISCHER","NA","2007","3","24","100"
"2557","UWE","JENS","SCHMIDT","NA","1969","12","17","2557","UWE","JENS","SCHMIDT","NA","1969","12","17","100"
"2558","GUENTHER","NA","SCHULZ","NA","1987","9","15","2558","GUENTHER","NA","SCHULZ","NA","1987","9","15","100"
"2559","DIETER","HEINZ","KOEHLER","NA","1997","9","17","2559","DIETER","HEINZ","KOEHLER","NA","1997","9","17","100"
"2560","NILS","NA","FISCHER","NA","2003","6","14","2560","NILS","NA","FISCHER","NA","2003","6","14","100"
"2561","THORSTEN","NA","MEIER","NA","1995","8","15","2561","THORSTEN","NA","MEIER","NA","1995","8","15","100"
"2562","RUDOLF","NA","LANG","NA","1942","9","3","2562","RUDOLF","NA","LANG","NA","1942","9","3","100"
"2563","OTTO","NA","KRAEMER","NA","1957","2","9","2563","OTTO","NA","KRAEMER","NA","1957","2","9","100"
"2564","ALEXANDER","NA","WEISS","NA","1952","1","9","2564","ALEXANDER","NA","WEISS","NA","1952","1","9","100"
"2565","PETER","NA","MUELLER","NA","1999","5","25","2565","PETER","NA","MUELLER","NA","1999","5","25","100"
"2566","FRANK","NA","SCHMID","NA","1956","8","31","2566","FRANK","NA","SCHMID","NA","1956","8","31","100"
"2567","KURT","NA","LUDWIG","NA","1959","11","26","2567","KURT","NA","LUDWIG","NA","1959","11","26","100"
"2568","KLAUS","NA","KRAUS","NA","1926","3","11","2568","KLAUS","NA","KRAUS","NA","1926","3","11","100"
"2569","HEINRICH","NA","ZIMMERMANN","NA","1956","11","21","2569","HEINRICH","NA","ZIMMERMANN","NA","1956","11","21","100"
"2570","JOERG","NA","MUELLER","NA","1960","8","24","2570","JOERG","NA","MUELLER","NA","1960","8","24","100"
"2571","RALF","WILHELM","SCHOLZ","NA","1969","6","13","2571","RALF","WILHELM","SCHOLZ","NA","1969","6","13","100"
"2572","LARS","NA","SCHMIDT","NA","1936","1","21","2572","LARS","NA","SCHMIDT","NA","1936","1","21","100"
"2573","MATTHIAS","NA","BAUER","NA","1948","2","2","2573","MATTHIAS","NA","BAUER","NA","1948","2","2","100"
"2574","GEORG","NA","SIMON","NA","1954","10","14","2574","GEORG","NA","SIMON","NA","1954","10","14","100"
"2575","MICHAEL","NA","LEHMANN","NA","1939","11","9","2575","MICHAEL","NA","LEHMANN","NA","1939","11","9","100"
"2576","INGO","NA","FISCHER","NA","1968","2","23","2576","INGO","NA","FISCHER","NA","1968","2","23","100"
"2577","MARTIN","NA","MUELLER","NA","2002","8","10","2577","MARTIN","NA","MUELLER","NA","2002","8","10","100"
"2578","THOMAS","NA","SCHMIDT","NA","1960","8","31","2578","THOMAS","NA","SCHMIDT","NA","1960","8","31","100"
"2579","ANDREAS","NA","SIMON","NA","1947","7","22","2579","ANDREAS","NA","SIMON","NA","1947","7","22","100"
"2580","MANFRED","NA","LEHMANN","NA","1952","1","10","2580","MANFRED","NA","LEHMANN","NA","1952","1","10","100"
"2581","HORST","CHRISTIAN","BERGMANN","NA","2003","2","20","2581","HORST","CHRISTIAN","BERGMANN","NA","2003","2","20","100"
"2582","WILHELM","NA","FISCHER","NA","1994","8","18","2582","WILHELM","NA","FISCHER","NA","1994","8","18","100"
"2583","HEINZ","NA","SCHOLZ","NA","1938","12","28","2583","HEINZ","NA","SCHOLZ","NA","1938","12","28","100"
"2584","THOMAS","NA","JAEGER","NA","1943","6","9","2584","THOMAS","NA","JAEGER","NA","1943","6","9","100"
"2585","WERNER","JUERGEN","SCHUMACHER","NA","1925","1","10","2585","WERNER","JUERGEN","SCHUMACHER","NA","1925","1","10","100"
"2586","NORBERT","NA","HARTMANN","NA","1941","2","16","2586","NORBERT","NA","HARTMANN","NA","1941","2","16","100"
"2587","HANS","NA","BRAUN","NA","1970","6","3","2587","HANS","NA","BRAUN","NA","1970","6","3","100"
"2588","HORST","NA","SCHNEIDER","NA","1982","5","3","2588","HORST","NA","SCHNEIDER","NA","1982","5","3","100"
"2589","KLAUSN","NA","SCHMIDT","NA","2003","12","10","2589","KLAUSN","NA","SCHMIDT","NA","2003","12","10","100"
"2590","JUERGEN","ALEXANDER","MUELLER","NA","1980","4","6","2590","JUERGEN","ALEXANDER","MUELLER","NA","1980","4","6","100"
"2591","MICHAEL","NA","SCHROEDER","NA","1994","2","4","2591","MICHAEL","NA","SCHROEDER","NA","1994","2","4","100"
"2592","CARSTEN","NA","BECKER","NA","1963","6","17","2592","CARSTEN","NA","BECKER","NA","1963","6","17","100"
"2593","GERHARD","NA","SCHULZE","NA","1964","6","14","2593","GERHARD","NA","SCHULZE","NA","1964","6","14","100"
"2594","WERNER","NA","ZIMMERMANN","NA","1955","11","23","2594","WERNER","NA","ZIMMERMANN","NA","1955","11","23","100"
"2595","DIRK","NA","RICHTER","NA","1980","11","26","2595","DIRK","NA","RICHTER","NA","1980","11","26","100"
"2596","MARKUS","NA","SIMON","NA","1951","7","4","2596","MARKUS","NA","SIMON","NA","1951","7","4","100"
"2597","MATTHIAS","NA","MEYER","NA","1967","10","4","2597","MATTHIAS","NA","MEYER","NA","1967","10","4","100"
"2598","JUERGEN","NA","LORENZ","NA","1982","2","26","2598","JUERGEN","NA","LORENZ","NA","1982","2","26","100"
"2599","KLAUS","NA","KRAEMER","NA","1999","12","25","2599","KLAUS","NA","KRAEMER","NA","1999","12","25","100"
"2600","HANS","NA","KLEIN","NA","1994","5","1","2600","HANS","NA","KLEIN","NA","1994","5","1","100"
"2601","CHRISTIAN","NA","FRANK","NA","1970","11","18","2601","CHRISTIAN","NA","FRANK","NA","1970","11","18","100"
"2602","ROLF","NA","LANGE","NA","1960","2","25","2602","ROLF","NA","LANGE","NA","1960","2","25","100"
"2603","WERNER","NA","HOFFMANN","NA","1933","9","16","2603","WERNER","NA","HOFFMANN","NA","1933","9","16","100"
